Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Isoodon obesulus nauticus,Southern Brown Bandicoot (Nuyts Archipelago),Vulnerable,Endemic,,SA,Animalia,Chordata,Mammalia,Polyprotodonta,Peramelidae,
Kumonga exleyi,Cape Range Remipede,Vulnerable,Endemic,,WA,Animalia,Arthropoda,Remipedia,Nectiopoda,Kumongidae,
Lagorchestes conspicillatus conspicillatus,Spectacled Hare-wallaby (Barrow Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Endemic,,NT,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus Central Australian subspecies,"Mala, Rufous Hare-Wallaby (Central Australia)",Endangered,Present,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus bernieri,Rufous Hare-wallaby (Bernier Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagorchestes hirsutus dorreae,Rufous Hare-wallaby (Dorre Island),Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),Extinct,Extinct,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lagostrophus fasciatus fasciatus,"Banded Hare-wallaby, Merrnine, Marnine, Munning ",Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae,
Lasiorhinus krefftii,"Northern Hairy-nosed Wombat, Yaminon",Critically Endangered,Present,,NSW,Animalia,Chordata,Mammalia,Diprotodonta,Vombatidae,
Leioproctus douglasiellus,a short-tongued bee,Critically Endangered,Endemic,,WA,Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,
Lerista allanae,"Allan's Lerista, Retro Slider",Endangered,Endemic,,QLD,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Lerista nevinae,Nevin's Slider,Endangered,Present,,WA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
